zip_code_tabulation_area,local_health_jurisdiction,county
95602,Placer,Placer
90006,Los Angeles,Los Angeles
90047,Los Angeles,Los Angeles
90049,Los Angeles,Los Angeles
91607,Los Angeles,Los Angeles
92262,Riverside,Riverside
92612,Orange,Orange
92648,Orange,Orange
92373,San Bernardino,San Bernardino
93013,Santa Barbara,Santa Barbara
92646,Orange,Orange
92879,Riverside,Riverside
92337,San Bernardino,San Bernardino
92653,Orange,Orange
92703,Orange,Orange
92833,Orange,Orange
92845,Orange,Orange
92841,Orange,Orange
92359,San Bernardino,San Bernardino
92364,San Bernardino,San Bernardino
92626,Orange,Orange
93022,Ventura,Ventura
91201,Los Angeles,Los Angeles
92860,Riverside,Riverside
92347,San Bernardino,San Bernardino
92339,San Bernardino,San Bernardino
92614,Orange,Orange
91950,San Diego,San Diego
91324,Los Angeles,Los Angeles
91335,Los Angeles,Los Angeles
94903,Marin,Marin
93033,Ventura,Ventura
92259,Imperial,Imperial
92832,Orange,Orange
92057,San Diego,San Diego
92258,Riverside,Riverside
92368,San Bernardino,San Bernardino
93206,Kern,Kern
92230,Riverside,Riverside
92254,Riverside,Riverside
92342,San Bernardino,San Bernardino
92309,San Bernardino,San Bernardino
92341,San Bernardino,San Bernardino
92692,Orange,Orange
93234,Fresno,Fresno
92234,Riverside,Riverside
92284,San Bernardino,San Bernardino
95595,Trinity,Trinity
92404,San Bernardino,San Bernardino
92782,Orange,Orange
92655,Orange,Orange
92663,Orange,Orange
92268,San Bernardino,San Bernardino
91701,San Bernardino,San Bernardino
93249,Kern,Kern
91011,Los Angeles,Los Angeles
92354,San Bernardino,San Bernardino
92377,San Bernardino,San Bernardino
92346,San Bernardino,San Bernardino
93042,Ventura,Ventura
91001,Los Angeles,Los Angeles
93108,Santa Barbara,Santa Barbara
93652,Fresno,Fresno
93592,San Bernardino,San Bernardino
94850,Contra Costa,Contra Costa
95046,Santa Clara,Santa Clara
90025,Los Angeles,Los Angeles
91722,Los Angeles,Los Angeles
91784,San Bernardino,San Bernardino
91342,Los Angeles,Los Angeles
93103,Santa Barbara,Santa Barbara
93449,San Luis Obispo,San Luis Obispo
93036,Ventura,Ventura
91602,Los Angeles,Los Angeles
94561,Contra Costa,Contra Costa
94505,Contra Costa,Contra Costa
94582,Contra Costa,Contra Costa
94720,Berkeley,Alameda
95122,Santa Clara,Santa Clara
91105,Pasadena,Los Angeles
91604,Los Angeles,Los Angeles
91406,Los Angeles,Los Angeles
91423,Los Angeles,Los Angeles
91711,Los Angeles,Los Angeles
91978,San Diego,San Diego
93636,Madera,Madera
92233,Imperial,Imperial
94551,Alameda,Alameda
93611,Fresno,Fresno
